Time(s),X-Position (X[2]),Y-Position (X[1]),Input U
2.05000000e+000,2.23624424e-002,3.10860199e-003,9.14546481e-001
2.06000000e+000,2.23924887e-002,2.91275160e-003,9.15000555e-001
2.07000000e+000,2.24205701e-002,2.71482675e-003,9.15451720e-001
2.08000000e+000,2.24466658e-002,2.51482635e-003,9.15900004e-001
2.09000000e+000,2.24707552e-002,2.31274950e-003,9.16345433e-001
2.10000000e+000,2.24928174e-002,2.10859550e-003,9.16788037e-001
2.11000000e+000,2.25128317e-002,1.90236383e-003,9.17227840e-001
2.12000000e+000,2.25307775e-002,1.69405417e-003,9.17664870e-001
2.13000000e+000,2.25466340e-002,1.48366638e-003,9.18099154e-001
2.14000000e+000,2.25603804e-002,1.27120054e-003,9.18530716e-001
2.15000000e+000,2.25719960e-002,1.05665691e-003,9.18959582e-001
2.16000000e+000,2.25814601e-002,8.40035961e-004,9.19385777e-001
2.17000000e+000,2.25887519e-002,6.21338359e-004,9.19809326e-001
2.18000000e+000,2.25938507e-002,4.00564979e-004,9.20230253e-001
2.19000000e+000,2.25967358e-002,1.77716902e-004,9.20648582e-001
2.20000000e+000,2.25973866e-002,-4.72045848e-005,9.21064338e-001
2.21000000e+000,2.25957822e-002,-2.74197981e-004,9.21477542e-001
2.22000000e+000,2.25919022e-002,-5.03261578e-004,9.21888219e-001
2.23000000e+000,2.25857257e-002,-7.34393449e-004,9.22296391e-001
2.24000000e+000,2.25772322e-002,-9.67591455e-004,9.22702081e-001
2.25000000e+000,2.25664010e-002,-1.20285324e-003,9.23105311e-001
2.26000000e+000,2.25532116e-002,-1.44017622e-003,9.23506103e-001
2.27000000e+000,2.25376435e-002,-1.67955760e-003,9.23904478e-001
2.28000000e+000,2.25196760e-002,-1.92099436e-003,9.24300457e-001
2.29000000e+000,2.24992888e-002,-2.16448325e-003,9.24694063e-001
2.30000000e+000,2.24764612e-002,-2.41002079e-003,9.25085315e-001
2.31000000e+000,2.24511730e-002,-2.65760329e-003,9.25474234e-001
2.32000000e+000,2.24234037e-002,-2.90722680e-003,9.25860841e-001
2.33000000e+000,2.23931330e-002,-3.15888715e-003,9.26245155e-001
2.34000000e+000,2.23603405e-002,-3.41257996e-003,9.26627196e-001
2.35000000e+000,2.23250060e-002,-3.66830056e-003,9.27006984e-001
2.36000000e+000,2.22871094e-002,-3.92604410e-003,9.27384537e-001
